NODES 31
0	  0.00000	  0.00000
1	 11.00000	  0.00000
2	 11.00000	  7.00000
3	  0.00000	  7.00000
4	  5.50000	  0.00000
5	  5.50000	  7.00000
6	  0.00000	  3.50000
7	  2.75000	  0.00000
8	  8.25000	  0.00000
9	  2.75000	  7.00000
10	  0.00000	  5.25000
11	  0.00000	  1.75000
12	  1.37500	  0.00000
13	  4.12500	  0.00000
14	  0.00000	  2.62500
15	  0.00000	  0.87500
16	  0.68750	  0.00000
17	  2.06250	  0.00000
18	  0.00000	  1.31250
19	  0.00000	  0.43750
20	  0.34375	  0.00000
21	  1.03125	  0.00000
22	  0.00000	  0.65625
23	  0.00000	  0.21875
24	  0.17188	  0.00000
25	  0.51562	  0.00000
26	  0.00000	  0.32812
27	  0.00000	  0.10938
28	  0.08594	  0.00000
29	  0.00000	  0.05469
30	  0.04297	  0.00000
BOUNDARY 0 31
0	        1	        2
1	        2	        5
2	        4	        8
3	        8	        1
4	        5	        9
5	        9	        3
6	        3	       10
7	       10	        6
8	        7	       13
9	       13	        4
10	        6	       14
11	       14	       11
12	       12	       17
13	       17	        7
14	       11	       18
15	       18	       15
16	       16	       21
17	       21	       12
18	       15	       22
19	       22	       19
20	       24	       20
21	       20	       25
22	       25	       16
23	       19	       26
24	       26	       23
25	       23	       27
26	       28	       24
27	       27	       29
28	       29	        0
29	        0	       30
30	       30	       28

